岗位名词,岗位类别,招聘人数,经验要求,学历要求,平均月薪（万）,薪资下限（万/月）,薪资上限（万/月）,岗位描述,城市,区,招聘单位,单位类别,企业规模,所属行业,备注一,备注二
碳核查管理师,全职,3,3-5年,本科,1.2,0.8,1.6,"职位描述市场推广市场营销碳核查碳中和ESG环保 
岗位职责：
 
1.负责碳核查，碳足迹，碳中和认证，林业碳汇开发，ESG披露与提升等相关业务市场拓展与客户关系维护，制定市场开发计划并组织实施；
 
2.跟进市场拓展情况，负责商务洽谈及标书制作，完成市场拓展目标。
 
3.完成领导安排的其他工作。
 任职要求：
1.本科及以上学历，能源、环境、工程、金融等相关专业；
2.具有较强的沟通协调能力和市场开拓意识，具备较强的信息收集和分析能力，有市场工作经验者优先；
3. 工作热情高、责任心强，能够主动学习新知识，勇于承受工作压力，能适应经常性出差； 
4. 有较强时间管理能力、组织能力、执行能力和团队协作能力；
5. 具有三年以上相关领域与行业工作经验。",上海,浦东,联合赤道环境评价股份有限公司,民营,300-499人,环保,市场营销,碳核查
咨询-项目经理(J11156),全职,1,5-10年,本科,2.05,1.6,2.5,职位描述ESG 岗位职责: 团队介绍：我们是致力于引领企业迈向卓越与可持续发展的专业管理咨询团队。聚焦于为企业提供全方位、深层次的管理咨询服务，旨在助力企业挖掘内在潜力，优化运营结构，提升市场竞争力，并实现长期的可持续发展目标。团队不仅提供传统的企业战略规划、组织架构优化、流程改进等领域方面的服务，更融入了ESG管理理念。ESG可持续发展必是企业应对未来挑战、赢得社会信赖、实现价值最大化的重要途径。 岗位职责： 1、项目实施与执行：全面主导项目实施，精心构建项目框架，明确团队角色与任务分工。指导团队项目执行工作，负责日常与客户沟通汇报，管控项目实施进度。 2、项目管理：负责全面管理咨询项目的生命周期，从项目启动、规划、执行到收尾，确保项目按时、按预算、按质完成。 3、沟通汇报：定期向高级管理层汇报项目进展，与客户进行正式的项目汇报和成果展示，确保信息的准确传递。 5、质量控制：监督项目交付物的质量，包括报告、演示文稿、数据分析等，确保输出符合公司和客户高标准。 6、知识管理：建立和维护项目知识库，负责项目总结与咨询方法、工具、知识沉淀，促进团队内部知识分享，提升团队咨询效率和专业水平。 任职要求: 1、教育背景：要求具有正规统招院校本科及以上学历 2、工作经验：5年以上咨询机构工作经验，特别优秀者不少于3年，工作经验中须有项目管理经验。具备在知名咨询公司工作的背景是一个显著优势。 3、专业技能：需具备强大的逻辑思维能力、创新思维能力，能够快速学习并掌握新知识。应具备良好的沟通协调能力和文档编写能力，能够独立完成高质量的咨询报告。要求具备出色的项目管理和团队领导能力，能够有效管理项目范围、时间、成本和质量。 4、业务能力：熟悉企业管理咨询项目的全周期管理，包括项目策划、实施、客户沟通、招投标、合同签订等。能够为客户提供专业的咨询服务，帮助客户解决问题并建立长期合作关系。 5、行业知识：了解行业分析及发展趋势的咨询方法、工具或知识沉淀，能够针对不同行业提供定制化服务。 6、语言能力：具有良好的英文水平，能将英文作为工作英语将会是一个优势。 7、持续学习与创新能力：持续关注行业动态，了解最新的管理理论和实践，具备独立提出创新解决方案的能力。对于当前的ESG及双碳咨询有一定的知识储备。 8、综合素质：具备良好的职业化素养，追求卓越，工作态度独立、客观，工作效率高。 9、有ESG、双碳及企业管理相关的资格认证者优先。,上海,黄浦,立信会计师事务所（特殊普通合伙）,民营,1000-9999人,咨询服务,,
碳测市场经理,全职,3,3-5年,本科,1.3,1,1.6,"职位描述碳核查碳中和ESG环保任职要求：
1.本科及以上学历，能源、环境、工程、金融等相关专业；
2.具有较强的沟通协调能力和市场开拓意识，具备较强的信息收集和分析能力，有市场工作经验者优先；
3. 工作热情高、责任心强，能够主动学习新知识，勇于承受工作压力，能适应经常性出差； 
4. 有较强时间管理能力、组织能力、执行能力和团队协作能力；
5. 具有三年以上相关领域与行业工作经验。 
岗位职责： 
1.负责碳核查，碳足迹，碳中和认证，林业碳汇开发，ESG披露与提升等相关业务市场拓展与客户关系维护，制定市场开发计划并组织实施； 
2.跟进市场拓展情况，负责商务洽谈及标书制作，完成市场拓展目标。 
3.完成领导安排的其他工作。",上海,浦东,联合赤道环境评价股份有限公司,民营,300-499人,环保,碳中和,ESG
双碳咨询认证业务市场经理,全职,1,3-5年,本科,1.25,1,1.5,"职位描述ESG绿色金融双碳咨询认证环保职责要求
（一）市场策略与项目渠道开发
1、深入研究双碳发展趋势、政策动向及市场需求，为公司制定双碳领域业务的市场策略提供决策支持；
2、负责上海及长三角区域双碳咨询认证、绿色金融、ESG等项目的渠道开发与维护，与潜在合作伙伴建立长期稳定的合作关系；
3、定期组织市场调研，收集并分析行业信息，为公司市场布局提供数据支持。
（二）业务拓展与客户关系维护
1、拓展双碳咨询、绿色金融、ESG领域的客户资源，建立并维护与客户的长期合作关系；
2、针对双碳认证等项目的客户需求，提供定制化的解决方案，提升客户满意度；
3、参与商务谈判、合同签订及后续执行工作，确保项目顺利推进。
岗位要求
1、本科及以上学历，市场营销、环境科学、金融学、能源等相关专业优先；
2、具有3年以上双碳市场或相关领域的工作经验，熟悉双碳领域政策、市场动态和客户需求；
3、具备扎实的双碳理论知识，熟悉双碳咨询认证、绿色金融、ESG等方面的业务流程和操作方法；
4、具备较强的市场洞察力和分析能力，能够独立制定并执行市场策略；
5、具备良好的沟通能力和团队合作精神，能够与客户、合作伙伴及团队成员有效沟通；
6、优秀的谈判技巧和项目管理能力，能够推动项目顺利执行；
7、具备较强的责任心和抗压能力，能够适应快节奏的工作环境。",上海,浦东,联合赤道环境评价股份有限公司,民营,300-499人,环保,绿色金融,双碳咨询认证
绿色金融市场总监,全职,1,3-5年,硕士,2.25,1.5,3,"职位描述绿色金融ESG市场任职要求：
1.研究生及以上学历，市场营销、环境、金融、能源等相关专业；
2.具备扎实的绿色金融理论知识，熟悉双碳、绿色金融及ESG方面的业务流程及操作方法；
3.具备较强的责任心和抗压能力，能够适应出差及较快的工作节奏
4.具有三年以上绿色金融或相关领域的工作经验，熟悉绿色金融政策与投资市场，掌握行业市场相关动态和客户需求；
5.具备较强的市场洞察和分析能力，能独立制定并执行市场策略。
6.具备良好的沟通能力和团队协作能力，能够与客户、合作伙伴及团队成员有效沟通；
岗位职责：
1. 深入研究绿色金融市场发展趋势、政策动向及市场需求，为公司制定市场策略提供决策支持；
2. 负责公司双碳、绿色金融及ESG等项目的渠道开发与维护，与潜在合作伙伴建立长期稳定的合作关系；
3. 针对客户的需求，提供定制化的解决方案，提升客户满意度。
4. 协调内外关系，确保项目目标高效达成。",上海,浦东,联合赤道环境评价股份有限公司,民营,300-499人,环保,ESG,市场
绿色金融分析师,全职,1,1-3年,硕士,2.25,1.5,3,"职位描述环保ESG低碳环保任职要求：
1.研究生及以上学历，环境、金融、能源等相关专业；
2.熟悉国际国内碳政策标准要求，有碳资产管理及碳交易相关工作经验；
3.有一定的文字基础，较强的逻辑分析和研究能力；
4.工作热情高、责任心强，勇于承受工作压力，能适应经常性出差。
岗位职责：
1. 负责公司绿色金融咨询业务执行和相关课题研究；
2. 配合客户市场开拓和业务营销工作；
3. 开展绿色金融或ESG报告咨询等项目实施。",上海,浦东,联合赤道环境评价股份有限公司,民营,300-499人,环保,ESG,低碳
双碳咨询业务市场总监,全职,1,3-5年,本科,2.75,2.5,3,"职位描述ESG绿色金融双碳咨询市场营销环保一、岗位概述 
负责公司在双碳领域的市场布局、业务拓展以及客户关系维护。通过深入了解双碳政策、市场动态和客户需求，制定并执行有效的市场策略，推动公司双碳业务的快速发展。在双碳咨询、绿色金融、ESG等方面，负责项目的渠道开发与维护。 
二、岗位职责
（一）市场策略与项目渠道开发 
1、深入研究发展趋势、政策动向及市场需求，为公司制定双碳领域业务的市场策略提供决策支持； 
2、负责双碳咨询、绿色金融、ESG等项目的渠道开发与维护，与潜在合作伙伴建立长期稳定的合作关系； 
3、定期组织市场调研，收集并分析行业信息，为公司市场布局提供数据支持。
（二）业务拓展与客户关系维护 
1、拓展双碳咨询领域的客户资源，建立并维护与客户的长期合作关系； 
2、针对双碳咨询、绿色金融、ESG等项目的客户需求，提供定制化的解决方案，提升客户满意度； 
3、参与商务谈判、合同签订及后续执行工作，确保项目顺利推进。 
（三）双碳咨询、绿色金融、ESG项目管理 
1、负责项目的整体规划、执行与监控，确保项目按照预定的时间、成本和质量要求完成； 
2、协调内部资源，组建项目团队，明确团队成员的职责与分工； 
3、对项目的执行过程进行监控与评估，确保项目目标的达成。 
（四）数据分析与报告撰写 
1、收集、整理相关数据，进行定期的市场分析报告； 
2、分析公司业务数据，提出改进建议，为领导决策提供支持；
3、撰写项目报告、总结报告等相关文档，及时向公司汇报项目进展与成果。 
三、任职要求 
1、本科及以上学历，市场营销、环境科学、金融学、能源等相关专业优先； 
2、具有3年以上双碳市场或相关领域的工作经验，熟悉双碳领域政策、市场动态和客户需求； 
3、具备扎实的双碳理论知识，熟悉双碳咨询、绿色金融、ESG等方面的业务流程和操作方法； 
4、具备较强的市场洞察力和分析能力，能够独立制定并执行市场策略； 
5、具备良好的沟通能力和团队合作精神，能够与客户、合作伙伴及团队成员有效沟通； 
6、优秀的谈判技巧和项目管理能力，能够推动项目顺利执行；
 7、具备较强的责任心和抗压能力，能够适应快节奏的工作环境。",上海,浦东,联合赤道环境评价股份有限公司,民营,300-499人,环保,绿色金融,双碳咨询
总经理助理(业务总监-技术),全职,1,3-5年,硕士,2.25,1.5,3,"职位描述绿色金融碳ESG任职要求：
1.研究生及以上学历，市场营销、环境、金融、能源等相关专业；
2.具备扎实的绿色金融理论知识，熟悉双碳、绿色金融及ESG方面的业务流程及操作方法；
3.具备较强的责任心和抗压能力，能够适应出差及较快的工作节奏
4.具有三年以上绿色金融领域的工作经验，熟悉绿色金融政策与投资市场，掌握行业市场相关动态和客户需求；
5.具备较强的市场洞察和分析能力，能独立制定并执行市场策略；
6.具备良好的沟通能力和团队协作能力，能够与客户、合作伙伴及团队成员有效沟通；
7.有绿色金融相关资格证书及职称者优先录用。
岗位职责：
1. 深入研究绿色金融市场发展趋势、政策动向及市场需求，为公司制定市场策略提供决策支持；
2. 负责公司双碳、绿色金融及ESG等项目的渠道开发与维护，与潜在合作伙伴建立长期稳定的合作关系；
3. 针对客户的需求，提供定制化的解决方案，提升客户满意度。
4. 负责项目技术审核，确保高效准确。",上海,浦东,联合赤道环境评价股份有限公司,民营,300-499人,环保,碳,ESG
绿色金融市场经理,全职,1,1-3年,硕士,1.25,1,1.5,"职位描述市场推广ESG低碳环保绿色金融任职要求：
1.研究生及以上学历，市场营销、金融、环境、能源等相关专业；
2.具有较强的沟通协调能力和市场开拓意识，具备较强的信息收集和分析能力；
3.工作热情高、责任心强，勇于承受工作压力，能适应经常性出差。
4.绿色金融相关领域一年以上工作经验
岗位职责：
1. 负责公司双碳、绿色金融及ESG等项目的渠道开发与维护，与潜在合作伙伴建立长期稳定的合作关系；
2 .针对客户的需求，提供定制化的解决方案，提升客户满意度。
3. 对项目的执行进行跟踪，确保项目目标的达成。
工作地点：上海、天津",上海,浦东,联合赤道环境评价股份有限公司,民营,300-499人,环保,ESG,低碳环保
低碳环保市场经理,全职,1,1-3年,本科,1.6,1.2,2,"职位描述ESG绿色金融低碳环保任职要求：
1.本科及以上学历，能源、环境、工程、金融等相关专业；
2.具有较强的沟通协调能力和市场开拓意识，具备较强的信息收集和分析能力，有市场工作经验者优先；
3.工作热情高、责任心强，能够主动学习新知识，勇于承受工作压力，能适应经常性出差。
岗位职责：
1.负责低碳环保、绿色金融、ESG、数字化产品相关业务市场拓展与客户关系维护，制定市场开发计划并组织实施；
2.跟进市场拓展情况，负责商务洽谈及标书制作，完成市场拓展目标。
3.完成领导安排的其他工作。",上海,浦东,联合赤道环境评价股份有限公司,民营,300-499人,环保,绿色金融,低碳环保
高级经理,全职,1,3-5年,硕士,1.15,0.8,1.5,"职位描述环保ESG低碳环保1.研究生及以上学历，金融、经济、环境、能源等相关专业；
2.具有较强的沟通协调能力和市场开拓意识，具备较强的信息收集和分析能力；
3.工作热情高、责任心强，勇于承受工作压力，能适应经常性出差。
岗位职责：
1.负责绿色债券、绿色信贷、ESG咨询等绿色金融业务客户拓展，制定市场开发计划并组织实施；
2.跟进市场拓展情况，做好客户服务，完成市场拓展目标。
薪资待遇面议",上海,浦东,联合赤道环境评价股份有限公司,民营,300-499人,环保,ESG,低碳
ESG研究员,全职,1,1-3年,本科,1.25,1,1.5,"职位描述学术/科研咨询服务环保1. 岗位职责
战略规划与研究：负责ESG业务线战略方向的研究与规划工作，为项目提供整体战略规划方案和实施方案等建议和指导。
企业ESG框架制定：协助企业制定ESG战略框架及执行计划，推动实施并监控落地效果。
市场分析与政策研究：负责“双碳”/低碳发展/碳交易/绿色金融等政策研究和市场分析，与外部政府部门、咨询公司、碳交易机构等建立合作，拓展并维护相关合作资源。
报告撰写与数据分析：组织相关调研报告的撰写，整理数据信息并进行数据分析总结汇报。
商务对接：需要与客户单位前期接洽、签约，拜访了解客户需求，制定方案。
2. 任职资格
学历要求：通常要求本科及以上学历，硕士研究生更佳，专业背景涉及环境、社会学、经济管理、金融、可持续发展等相关领域。
技能要求：具备较强的文案及报告写作能力，英文报告写作能力者优先；具有较强的逻辑分析、信息处理和数据分析能力；良好的沟通和表达能力，具有团队协作意识。
个人素质：具有较强的执行力，抗压能力强，适应多线程处理工作节奏，能够在高强度的工作压力下保持积极的工作态度，性格外向有亲和力。
办公软件技能：熟练使用各类办公软件。",苏州,吴中,中盛评估咨询有限公司,民营,20-99人,专业技术服务,,
ESG高级咨询顾问,全职,2,3-5年,本科,2,1.5,2.5,"职位描述ESG尽职调查ESG审核看看你的工作内容：
1.你将参与可持续发展/ESG技术服务项目，包括实地调研、访谈、根据国内外客户要求、政策法规及技术标准编写可持续发展/ESG报告，确保按时高质量交付；
2.你将实施可持续发展/ESG报告审验并准备鉴证声明；
3.你将执行各项与可持续发展相关的服务项目，包括但不仅限于：可持续发展管理体系建设与审核、可持续供应链建设与审核、供应商社会责任尽职调查、物料供应链可持续性追溯；
4.你将参与技术项目前期策划，提供项目方案并协助销售接洽新客户，投标技术支持；
5.你将保持和提升在政策法规和产品知识方面的技能（例如：相关产品学习和发展、熟悉专业领域的产品知识及标准要求、跟踪标准法规的最新动态）；
6.你将为客户提供可持续发展相关的培训课程；
7.你将完成公司安排的其它工作。
 我们希望你：
1.本科及以上学历，专业不限；
2.有三年或以上可持续发展/ESG领域工作经验，熟练掌握可持续发展/ESG相关技术指南、标准、评级要求和政策法规；
3.具备绿色低碳领域课题研究、温室气体核查经验、CSR经验者优先，有温室气体核查员或CFA ESG证书优先；
4.具有较强的口头和书面沟通表达能力，有良好的团队协作意识；
5.熟练使用Office办公软件，有较强的逻辑分析、信息处理和数据处理能力；
6.积极的工作态度，愿意开拓新产品和业务；
7.英文读写说流利；
8.能适应频繁出差的工作方式。",苏州,吴中,SGS,合资,10000人以上,检测/认证,尽职调查,ESG审核
ESG供应链管理专员,全职,1,3-5年,本科,1.25,1,1.5,"职位描述ESG新能源环保岗位职责:
1. 推动执行供应链ESG策略并构建管理体系，制定供应链端可持续采购实施方案，优化供应商准入、审核、绩效管理全流程规则，确保可持续采购政策与ESG风险管控机制有效落地；
2. 搭建供应商ESG评估体系（含环境、劳工、商业道德、有害物质等维度），开发评分模型与风险评估工具，定期输出供应链ESG地图；
3. 主导供应链ESG合规审核（含环境、劳工、商业道德、有害物质等维度），制定年度滚动审核计划，进行风险管理，基于动态风险评估模型识别高风险供应商，执行现场审核与文件核查，推动供应商整改闭环；
4. 推动供应链的减碳，推动供应商碳减排目标设定（SBTi标准）；
5. 监控全球ESG法规动态（如欧盟RoHS、REACH、CSRD、CSDDD等），制定供应链合规指南，提前规避贸易风险；
6. 配合其他体系工作在供应链的推广落实；
7. 建立供应链ESG数据库，包括环境相关数据（如碳排放与能源、水资源、原材料、污染与废弃物、有害物质管理）、社会相关数据（如供应商的道德和社会责任表现）以及治理相关数据（如供应链透明度、合规性数据、供应商的ESG风险评级）；
8. 设计绿色采购KPI（如再生材料使用率、供应商绿电覆盖率），定期发布供应链ESG绩效报告；
9. 策划供应商赋能计划（如供应商大会、最佳实践分享会），开发培训教材并组织相关培训；
10. 协同研发部门推进绿色产品设计（如循环经济、易回收模块、低碳工艺）；
11. 与内部和外部利益相关者建立良好的合作关系，推动供应链ESG目标的实现。
 
任职要求:
1. 本科以上学历，供应链管理、环境科学、社会责任等相关专业背景优先考虑；
2. 3年以上供应链ESG管理经验，主导过供应商ESG审核体系搭建；
3. 胜任至少6项岗位职责，熟悉多体系标准、具备多体系认证推动能力以及供应链可持续性评估与合规落地的实战经验者优先考虑；
4. 具备数据分析和报告能力，熟练运用Excel、飞书等工具进行数据处理和可视化；
5. 具备良好的沟通和协调能力，能够与不同部门和供应链合作伙伴协同达成目标；
6. 具备解决问题和项目管理能力，能够制定和推动供应链ESG改进计划；
7. 擅长沟通，结果导向，自我激励，团队合作精神和求知欲强；
8. 可接受出差（海内外）。
加分项：
1. 中英文听说读写流利，可以使用英文作为工作语言者优先，二外口语流利者尤佳；
2.熟悉ISO20400可持续采购相关标准；
3.熟练掌握ISO14064相关标准，具备盘查经验；
4.取得CFA-ESG、SCR证书；
5.具备CDP、EcoVadis评估、社会责任报告等披露项目经验；
6.有知名外企或大型上市公司工作的经历，具有新能源、电子制造行业海外供应链ESG管理背景优先。",苏州,虎丘,固德威技术股份有限公司,民营,1000-9999人,新能源,,
ESG工程师,全职,1,1-3年,大专,0.933333333,0.7,1.166666667,"职位描述ESG碳管理环保岗位说明:  1.建构碳管理,可持续发展,绿色供应链管理;  2.完成工厂碳足迹盘查,核查;  3.与客户对接数据收集相关工作;  4.具备较好的数据统计,整理,ESG报告拽写;  5.CSR/ESG相关重要法规政策,案例,重要活动和最新动态;  
  
  任职要求:  1.可持续发展等相关工作经验者优先,环境、能源、工程等相关专业优先.  2.熟悉 offce 等常用办公软件,具备良好的数据分析能力.  3.能配合领导其他交办事项;  
  补充说明：  
1、工作时间：五天八小时制，早八晚五 双休 , 超出时间算加班费;  
2、免费提供工作餐,公司有宿舍；  
3、一年有两次绩效奖金,一次年终奖；  
4、缴纳五险一金；  
5、其他福利：旅游活动、节日福利、结婚礼金、生日福利、尾牙活动、定期体检、绩效奖、带薪年假。",苏州,相城,健和兴科技（苏州）有限公司,外商独资,100-299人,金属制品业,碳管理,
ESG主管/经理,全职,1,3-5年,本科,1.25,1,1.5,"职位描述医药制造主要职责：
1.ESG战略规划与实施
1）制定和执行公司的ESG战略，确保与公司整体战略和业务目标一致。
2）牵头制定ESG目标与指标体系，定期向董事会和高层管理团队汇报ESG进展、风险机遇识别以及工作计划。
3）将ESG目标分解至各部门，确保各部门明确职责并有效执行。
2.ESG报告与信息披露
1）负责年度ESG报告的编写和发布，确保报告内容全面、准确、符合国际标准。
2）定期评估公司的ESG绩效，及时发现和解决相关问题。
3）组织参与国际ESG评级，提升公司在评级中的表现。
3.利益相关方沟通与合作
1）与政府机构、国际组织、股东、投资者、媒体等利益相关方建立长期有效的沟通机制，确保各方协同参与企业的可持续发展。
2）与行业内的其他企业、科研院校等开展交流合作，推动行业ESG标准的制定。
4.风险评估与合规管理
1）定期进行ESG风险评估，制定相应的风险应对措施。
2）确保公司在ESG领域的实践符合相关法律法规和行业标准。
任职要求：
1.本科及以上学历，环境科学、化学工程等相关专业优先。
2.3年以上ESG相关工作经验，具备医药化工行业经验者优先。
3.熟悉ESG报告编写、评级流程和国际标准。
4.较强的逻辑分析、信息处理和数据分析能力。
5.英语流利，具备优秀的英语写作能力。",南京,浦口,药石科技,民营,1000-9999人,化学原料/化学制品,,
ESG咨询顾问,全职,1,1-3年,本科,1.733333333,1.333333333,2.133333333,"职位描述双碳　ESG　零碳园区岗位职责：
1.为企业客户提供ESG战略规划、双碳目标落地等咨询服务; 协助客户制定可持续发展报告框架，编制ESG/CSR报告，满足监管要求
2.研究跟踪国内外ESG政策法规、行业标准，分析对客户业务的影响并提出应对建议；研究ESG投资趋势、评级机构、评分逻辑，协助客户提升ESG评级
3.主导或参与ESG相关项目，协调内外部资源确保项目按时交付； 使用专业工具进行数据分析，输出可视化报告及改善建议
4.挖掘客户潜在需求，推动ESG咨询服务的长期合作，参与商务谈判及合同签订；定期组织ESG培训、研讨会，提升客户对双碳与ESG的认知
5.与双碳团队、技术部门协同开发ESG产品线，优化服务流程。 整理行业案例，建立ESG数据库及方法论文档
 
任职资格：
1、本科及以上学历，环境科学、可持续发展、金融、经济学、公共政策等相关专业优先
2、1-3年ESG咨询、可持续发展研究、企业社会责任或双碳领域相关经验，熟悉国内外ESG披露框架、绿色金融标准者优先，应届生需有ESG项目实习经历
3、掌握ESG评级体系、碳核算方法学；熟练使用Excel、Python或数据分析工具处理环境/碳排放数据
4、优秀的报告撰写能力（中英文），能独立完成ESG报告；出色的沟通与项目管理能力，适应跨部门协作及短期出差
5、持有CFA ESG Investing证书、CPBA商业分析师（ESG方向）或相关资质
6、具备能源、制造业、金融等行业ESG服务经验",南京,玄武,江苏通源碳中和科技有限公司,民营,20人以下,环保,,
ESG报告编制工程师,全职,1,1-3年,硕士,1.225,0.933333333,1.516666667,"职位描述咨询服务环保专业技术服务 岗位职责 
1. ESG报告编制： 
负责企业ESG报告的编制工作，包括但不限于环境、社会和治理（ESG）信息的收集、整理、分析和披露。 
根据国内外ESG相关标准、指南和框架（如GRI、SASB、TCFD等），撰写ESG报告，确保报告内容的完整性、准确性和透明度。 
协助企业识别和管理ESG风险，制定ESG战略和目标，提升企业ESG绩效。 
2. ESG类课题审核： 
参与现有ESG类课题的审核和优化工作，提出修改意见和建议。 
跟踪国内外ESG领域最新政策、法规、标准和市场动态，及时将最新研究成果应用于课题审核中。 
3. ESG类新业务开发： 
参与ESG领域新业务、新产品的市场调研、需求分析和商业模式设计。 
协助完成新业务、新产品的推广和落地，参与客户沟通和方案讲解。 
4. 其他工作： 
完成领导交办的其他工作。 
三、 任职资格 
1. 教育背景：硕士及以上学历，环境科学、社会学、经济学、金融学、管理学等相关专业优先。 
2. 工作经验：1年以上ESG领域相关工作经验，具备ESG报告编制经验者优先。 
3. 专业技能：  
熟悉国内外ESG相关标准、指南和框架，如GRI、SASB、TCFD等。 
具备扎实的ESG领域专业知识，熟悉ESG信息披露、ESG评级、ESG投资等。 
具备优秀的文字表达能力和数据分析能力。 
具备良好的英语读写能力，能够阅读和理解英文文献。 
4. 个人素质： 
具备良好的沟通协调能力和团队合作精神。 
工作认真负责，严谨细致，具备良好的职业道德。",无锡,新吴,无锡市低碳研究院有限公司,股份制企业,20-99人,环保,,
绿色金融市场经理,全职,1,1-3年,硕士,1.25,1,1.5,"职位描述市场推广ESG低碳环保绿色金融任职要求：
1.研究生及以上学历，市场营销、金融、环境、能源等相关专业；
2.具有较强的沟通协调能力和市场开拓意识，具备较强的信息收集和分析能力；
3.工作热情高、责任心强，勇于承受工作压力，能适应经常性出差。
4.绿色金融相关领域一年以上工作经验
岗位职责：
1. 负责公司双碳、绿色金融及ESG等项目的渠道开发与维护，与潜在合作伙伴建立长期稳定的合作关系；
2 .针对客户的需求，提供定制化的解决方案，提升客户满意度。
3. 对项目的执行进行跟踪，确保项目目标的达成。
工作地点：上海、天津",南京,秦淮,联合赤道环境评价股份有限公司,民营,300-499人,环保,ESG,低碳环保
ESG咨询师,全职,1,1年以下,本科,1.15,0.8,1.5,"职位描述ESG企业服务咨询服务环保工作内容：
负责客户ESG项目的开发和执行，包括但不限于ESG策略的制定、风险识别和评估、跟进、解决方案的提供及改进、ESG信息的披露和报告、以及与客户、ESG合作伙伴的沟通和合作等。
主要职责：
- 负责客户ESG项目的规划和管理，确保ESG项目按照预定目标顺利实施。
- 制定客户ESG策略，并撰写报告，向客户提供ESG建议。
- 对ESG风险进行识别和评估，为客户提供风险预警和建议。
- 撰写ESG相关信息披露报告和提供解决方案，确保客户ESG项目的有效落地。
- 与外部合作伙伴及ESG机构保持沟通，为客户及其供应链提供ESG咨询服务。
- 协助客户的ESG项目的日常运营，包括但不限于项目协调、资料收集等。
- 完成其他上级主管交代的任务。
职位要求：
- 不限工作经验，有相关ESG项目开发和执行经验者尤佳。
- 本科以上学历，环境、节能、气候变化、化学、法学、社会学、数学或供应链管理工作相关专业背景或研究经验者优先考虑。
- 熟悉ESG体系，了解ESG风险管理工具和方法，包括但不仅限于企业社会责任、公司治理、负责供应链、可持续发展和低碳减碳相关。
- 具备良好的沟通能力和团队合作意识，能够独立工作，具备一定的抗压能力。
- 具备优秀的逻辑思维能力，根据数据能够分析问题并提出问题的解决方案。
- 英文听说读写流利，能够阅读和理解相关英文报告。
- 年龄28-45岁。",嘉兴,南湖区,嘉兴中明管理咨询有限公司,民营,20-99人,企业服务,,
ESG合规专员,全职,1,1年以下,本科,1.5,1,2,职位描述ESG业务合规合规报告3C消费电子制造企业服务环保专业技术服务                                                     工作职责                                          ESG数据收集与管理                                                             负责收集、整理和汇总企业内部各部门的ESG相关数据，确保数据的准确性和完整性。                                                    建立和维护ESG数据管理规范，对数据进行可视化展示和分析。                                                         ESG报告编制                                                             协助编制年度ESG报告，按照国内外主流报告编制标准（如GRI、港交所、沪深北交所ESG指引等）进行信息收集、整理和撰写。                                                    定期复核和更新ESG报告内容，确保报告符合监管要求。                                                         ESG风险评估                                                             识别、分析和评估企业运营中的ESG风险，撰写相关报告和PPT汇报成果。                                                    跟踪ESG相关法律法规和政策动态，及时为企业提供合规建议。                                                         内外部沟通协调                                                             协助组织和召集ESG相关会议，向内外部单位汇报ESG议题和进展。                                                    与外部利益相关者（如投资者、监管机构、媒体等）进行有效沟通，回应其对ESG信息披露的关切。                                                         ESG战略支持                                                             协助制定和实施企业的ESG战略，推动ESG理念在企业内部的落地和执行。                                                    参与企业ESG目标的设定和分解，确保各部门明确自身的ESG责任。                                                         培训与知识分享                                                             协助开展企业内部的ESG培训，提升员工对ESG理念和实践的理解。                                                    关注行业内的ESG最佳实践，及时向企业内部分享相关信息。                                 任职要求                                          教育背景                                                             本科及以上学历，环境科学、社会科学、商业管理、法律、财务等相关专业优先。                                                         工作经验                                                             具备1-3年相关工作经验，有ESG、CSR或可持续发展领域实习或工作经验者优先。                                                         专业技能                                                             熟悉国内外主流的ESG披露标准和框架（如GRI、SASB等）。                                                    具备较强的数据分析能力，能够熟练使用Excel、统计软件等工具。                                                    优秀的中英文书面和口头表达能力，能够撰写高质量的报告和进行有效的沟通。                                                         个人素质                                                             具备良好的逻辑思维和问题解决能力。                                                    有较强的学习能力和适应能力，能够快速掌握新知识和新技能。                                                    具备良好的团队合作精神和沟通能力。,嘉兴,嘉善县,日善电脑配件(嘉善)有限公司,合资,10000人以上,金属制品业,业务合规,合规报告
